kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
DAPK2	CAMK	26	890	7	612	81	10819	3.901983631571647	1.9642077259992348	7.584667027751876e-8	4.1784620171069424e-7	7.120063480293749	6.378983541285687	1.5277374324215283	0.611396613076855	0.1912968256969784	0.3050680957167603	0.7182922364218621	0.5156032088723861	upregulated set	3.901983631571647	1.9642077259992348	7.584667027751876e-8	4.1784620171069424e-7	7.120063480293749	6.378983541285687
DAPK3	CAMK	37	890	6	612	135	10819	3.3316937161880986	1.7362557793208864	5.184407725231337e-9	3.5701716835115796e-8	8.28530085091543	7.447310898899313	0.7856935366739288	-0.34796140242579904	0.36441702545796223	0.45906374225603275	0.43840134111254664	0.33812700729923933	upregulated set	3.3316937161880986	1.7362557793208864	5.184407725231337e-9	3.5701716835115796e-8	8.28530085091543	7.447310898899313
STLK3	STE	53	890	28	612	591	10819	1.0901481016749368	0.12452414512843411	0.2889566794131426	0.3138131679648108	0.5391672620948376	0.5033288368661302	0.8375413335102795	-0.2557677042160526	0.19889958914796094	0.3122620492841045	0.7013661139643413	0.5054807944698101	upregulated set	1.0901481016749368	0.12452414512843411	0.2889566794131426	0.3138131679648108	0.5391672620948376	0.5033288368661302
HASPIN	Other	30	890	24	612	439	10819	0.8307184356683986	-0.26756852318407215	0.18079510585714534	0.21567290186895685	0.7428133300996151	0.6662044182172482	0.9664567421501631	-0.04922293491032625	0.4872978210442982	0.5217358295986656	0.31220553056525435	0.28254933758723955	downregulated set	1.0347074590997318	0.04922293491032625	0.4872978210442982	0.5217358295986656	0.31220553056525435	0.28254933758723955
PASK	CAMK	56	890	6	612	426	10819	1.5979954634172073	0.6762633125745332	0.0008872462957052466	0.0021680292548281427	3.0519558051763447	2.663934861836275	0.24898738838258305	-2.0058554256008065	0.00001363031957112671	0.00015884564730966896	4.865493961747871	3.799024681216385	upregulated set	1.5979954634172073	0.6762633125745332	0.0008872462957052466	0.0021680292548281427	3.0519558051763447	2.663934861836275
MPSK1	Other	62	890	44	612	687	10819	1.0970642591956559	0.13364803231154215	0.2542514579167814	0.28532663610661024	0.5947365480870354	0.5446576837437176	1.1322221270847008	0.17915702372307266	0.22631002265514366	0.3361369454142575	0.6452962118984088	0.47348375082200256	downregulated set	0.8832189162164207	-0.17915702372307266	0.22631002265514366	0.3361369454142575	0.6452962118984088	0.47348375082200256
AMPKA2	CAMK	24	890	22	612	259	10819	1.1264413691379984	0.1717722237773697	0.3170997769470096	0.34071359012391456	0.49880406346240036	0.46761054327945645	1.5016150604385896	0.5865150248546188	0.047395794820043635	0.12708783920772762	1.3242601892851231	0.8958960042662378	downregulated set	0.6659496340612896	-0.5865150248546188	0.047395794820043635	0.12708783920772762	1.3242601892851231	0.8958960042662378
PRKD3	CAMK	19	890	6	612	118	10819	1.9573509807655685	0.9689024748245115	0.007616768835463163	0.013417912541542665	2.1182292247934065	1.8723150431986502	0.8988866733133931	-0.15378885473680948	0.5015481668233892	0.5277319043568076	0.2996873526114495	0.27758664948922324	upregulated set	1.9573509807655685	0.9689024748245115	0.007616768835463163	0.013417912541542665	2.1182292247934065	1.8723150431986502
ULK2	Other	57	890	32	612	530	10819	1.3073627305490778	0.3866594754569475	0.03199763117644643	0.04872001128876015	1.4948821718387633	1.3122926197461648	1.0673572573683563	0.09404314445331434	0.3839963250411339	0.4702738782630732	0.415672931939745	0.327649143816688	upregulated set	1.3073627305490778	0.3866594754569475	0.03199763117644643	0.04872001128876015	1.4948821718387633	1.3122926197461648
AMPKA1	CAMK	21	890	21	612	273	10819	0.9350907519446846	-0.09682170739832471	0.43663302023196005	0.45308152441878047	0.35988342400418216	0.34382364695029544	1.3598541980894925	0.44345197576278383	0.10875279574338916	0.2059506069390432	0.9635595696807275	0.6862369238343472	downregulated set	0.7353729549865975	-0.44345197576278383	0.10875279574338916	0.2059506069390432	0.9635595696807275	0.6862369238343472
PRKD2	CAMK	42	890	16	612	266	10819	1.9193968066232998	0.9406529980203381	0.00014688250623636092	0.00043209125620987727	3.8330299257715374	3.3644245219744047	1.063344636100054	0.08860925840268603	0.44224475517799605	0.5000006000706448	0.3543373089230706	0.30102947444955436	upregulated set	1.9193968066232998	0.9406529980203381	0.00014688250623636092	0.00043209125620987727	3.8330299257715374	3.3644245219744047
ULK1	Other	91	890	54	612	746	10819	1.4828583908184476	0.568380830686226	0.00026124900835993543	0.0007329486067875966	3.582945349357925	3.1349264763425695	1.279648320454187	0.35574737581210647	0.044516333204110366	0.12374723817289396	1.3514806155593626	0.9074644849976811	upregulated set	1.4828583908184476	0.568380830686226	0.00026124900835993543	0.0007329486067875966	3.582945349357925	3.1349264763425695
PRKD1	CAMK	68	890	22	612	480	10819	1.722125468164794	0.7841902563845883	0.00003464423568327636	0.0001206575104831349	4.460369015574535	3.918445639690848	0.8102464596949891	-0.30356728306734565	0.18886294482961408	0.3050680957167603	0.7238532428968093	0.5156032088723861	upregulated set	1.722125468164794	0.7841902563845883	0.00003464423568327636	0.0001206575104831349	4.460369015574535	3.918445639690848
WNK4	Other	21	890	19	612	212	10819	1.2041498834004665	0.26801497895832854	0.23754316590890678	0.26756720918363847	0.6242574596701381	0.5725671111702412	1.5843584289061536	0.6638987527842619	0.041402908393500165	0.11615815965954213	1.3829691503070387	0.9349502772916835	downregulated set	0.6311703095431527	-0.6638987527842619	0.041402908393500165	0.11615815965954213	1.3829691503070387	0.9349502772916835
NLK	CMGC	54	890	51	612	929	10819	0.706602484246683	-0.501029273476417	0.004201526165004344	0.008086142827790724	2.3765929275434274	2.09225859187032	0.9704879799067097	-0.04321775050728175	0.4500252193869392	0.503356571853161	0.3467631477053535	0.29812425684114685	downregulated set	1.030409464830391	0.04321775050728175	0.4500252193869392	0.503356571853161	0.3467631477053535	0.29812425684114685
TTBK1	CK1	115	890	44	612	694	10819	2.0143525564226277	1.010316209108882	1.534936871427678e-11	2.2146946287742211e-10	10.813909481394866	9.65468614762648	1.1208020191746246	0.16453145996291194	0.246253266335624	0.3553082842842575	0.6086180002531747	0.449394666484789	upregulated set	2.0143525564226277	1.010316209108882	1.534936871427678e-11	2.2146946287742211e-10	10.813909481394866	9.65468614762648
TTBK2	CK1	73	890	26	612	455	10819	1.950332139770342	0.9637198345367259	3.263665035921198e-7	0.000001521370009052497	6.486294421154717	5.817765149295267	1.0101774042950513	0.014608676958909161	0.509510455627964	0.5305211960662306	0.2928468994398151	0.2752972599234174	upregulated set	1.950332139770342	0.9637198345367259	3.263665035921198e-7	0.000001521370009052497	6.486294421154717	5.817765149295267
NUAK1	CAMK	38	890	18	612	267	10819	1.7300930017253713	0.7908495924987988	0.0016934768398213678	0.003718286104825177	2.771220738438636	2.4296571963375673	1.191782330909892	0.2531207636586341	0.26710933549116994	0.37370442941286486	0.5733109330888848	0.42747175455024233	upregulated set	1.7300930017253713	0.7908495924987988	0.0016934768398213678	0.003718286104825177	2.771220738438636	2.4296571963375673
NUAK2	CAMK	18	890	5	612	172	10819	1.272158348575908	0.3472782574829818	0.1960427113901715	0.2285108852126531	0.7076492995605166	0.6410931073000731	0.5138983888128895	-0.9604449659108598	0.0821341388578898	0.1777659375575857	1.0854762918950374	0.7501514522970517	upregulated set	1.272158348575908	0.3472782574829818	0.1960427113901715	0.2285108852126531	0.7076492995605166	0.6410931073000731
TAK1	TKL	58	890	32	612	536	10819	1.3154075129968137	0.3955098154125671	0.027940742196518813	0.043415614797667694	1.5537620618019556	1.3623540446621687	1.0554092283679641	0.07780250344610329	0.4079279170840325	0.48471434853514445	0.3894165721512367	0.3145141240828869	upregulated set	1.3154075129968137	0.3955098154125671	0.027940742196518813	0.043415614797667694	1.5537620618019556	1.3623540446621687
NIM1	CAMK	37	890	21	612	325	10819	1.3839343128781332	0.46877546845590035	0.03936055092882606	0.058461994761932826	1.4049388313871753	1.233126370310769	1.1422775263951734	0.19191320876681908	0.30674066635393843	0.40586210438970893	0.5132286433121288	0.39162149714971184	upregulated set	1.3839343128781332	0.46877546845590035	0.03936055092882606	0.058461994761932826	1.4049388313871753	1.233126370310769
CDK17	CMGC	59	890	92	612	1116	10819	0.642665418227216	-0.6378602517245789	0.00014108146739102553	0.0004193501971528563	3.8505300318758904	3.3774231484677277	1.4573347857661583	0.543332338131701	0.00026730908964398513	0.0021463146050023432	3.572986273136066	2.6683066191816414	downregulated set	0.6861841285660895	-0.543332338131701	0.00026730908964398513	0.0021463146050023432	3.572986273136066	2.6683066191816414
PLK4	Other	54	890	33	612	459	10819	1.4301387970918704	0.5161551694924279	0.008754536889278715	0.014986580098595768	2.0577668229386634	1.8242974607981652	1.270974838737238	0.3459354698485213	0.10613613140295612	0.20351210134342584	0.9741367461862638	0.6914097614244303	upregulated set	1.4301387970918704	0.5161551694924279	0.008754536889278715	0.014986580098595768	2.0577668229386634	1.8242974607981652
SRPK2	CMGC	13	890	33	612	499	10819	0.31669406228186714	-1.6588382764534009	4.478135930656451e-7	0.000002000560518686377	6.348902727854344	5.698848306302479	1.1690930881370585	0.22538980792506866	0.21108989888274476	0.32346785443667136	0.6755325481439959	0.4901688721341929	downregulated set	0.8553638800426858	-0.22538980792506866	0.21108989888274476	0.32346785443667136	0.6755325481439959	0.4901688721341929
CDK18	CMGC	51	890	90	612	1099	10819	0.5641175327928352	-0.8259323182349682	0.000003649988170141467	0.000014178800199395698	5.437708543119035	4.84836051730721	1.4477064711234813	0.5337691192843194	0.0003859373421102497	0.0027842622537953728	3.41348319839719	2.5552898602927856	downregulated set	0.6907477585728811	-0.5337691192843194	0.0003859373421102497	0.0027842622537953728	3.41348319839719	2.5552898602927856
PLK3	Other	85	890	30	612	1134	10819	0.9111774963834889	-0.13419597806175976	0.20813926361325677	0.2407106750947206	0.6816459862846495	0.61850464910209	0.4676747242106719	-1.0964226354298345	9.504010010621922e-7	0.000012520500144428011	6.022093114918062	4.902378322433349	upregulated set	0.9111774963834889	-0.13419597806175976	0.20813926361325677	0.2407106750947206	0.6816459862846495	0.61850464910209
SRPK3	CMGC	17	890	32	612	459	10819	0.4502288805659592	-1.1512694914207011	0.00015819532827135194	0.0004608960044828811	3.800806345970648	3.336397056767123	1.2324604496845943	0.30154135049006786	0.14326080234593389	0.2553413124165763	0.8438726208624738	0.5928789137384427	downregulated set	0.8113850633145392	-0.30154135049006786	0.14326080234593389	0.2553413124165763	0.8438726208624738	0.5928789137384427
CDK19	CMGC	93	890	87	612	1437	10819	0.7867256221998076	-0.34606752460653784	0.007907593033733944	0.0138497149665976	2.101955689858069	1.8585591644845596	1.0702819053856754	0.09799084329526737	0.2714900040719313	0.37608410331082115	0.5662461559694958	0.4247150233717994	downregulated set	0.934333277025412	-0.09799084329526737	0.2714900040719313	0.37608410331082115	0.5662461559694958	0.4247150233717994
MEKK6	STE	18	890	22	612	278	10819	0.7870907768167488	-0.34539806053842786	0.18870705053942913	0.22352319323012942	0.724211873268212	0.6506774068977587	1.3989866929985422	0.4843822398176653	0.08319237472085514	0.17877510312353978	1.0799164786181663	0.7476929627712412	downregulated set	0.7148030821198398	-0.4843822398176653	0.08319237472085514	0.17877510312353978	1.0799164786181663	0.7476929627712412
MEKK1	STE	34	890	38	612	393	10819	1.0516796752151414	0.07269534973450029	0.41388156654733443	0.4309488476420699	0.383123915771378	0.36557427625498023	1.7093332668096926	0.7734337050888548	0.0016625749743845574	0.008561667628822536	2.7792187609257226	2.06744163585351	downregulated set	0.5850234237039127	-0.7734337050888548	0.0016625749743845574	0.008561667628822536	2.7792187609257226	2.06744163585351
MEKK3	STE	28	890	13	612	219	10819	1.5542147657893388	0.6361858731991982	0.02148582994461204	0.03390732538134088	1.667847865931498	1.4697064661327424	1.0493852030918913	0.06954435244379452	0.4738066613729996	0.5166342509744003	0.32439883770949934	0.28681680506147933	upregulated set	1.5542147657893388	0.6361858731991982	0.02148582994461204	0.03390732538134088	1.667847865931498	1.4697064661327424
PLK2	Other	75	890	29	612	1311	10819	0.695433625588152	-0.5240152689831066	0.0004058891304126132	0.0010694296218697547	3.3915925788010446	2.9708477906523516	0.3910488426237517	-1.354579281190307	7.119981887356591e-10	1.9612313744264065e-8	9.147521111170882	7.707471167826801	upregulated set	0.695433625588152	-0.5240152689831066	0.0004058891304126132	0.0010694296218697547	3.3915925788010446	2.9708477906523516
MEKK2	STE	10	890	5	612	259	10819	0.46935057047416595	-1.0912621820564243	0.006269294626264216	0.011374827974599145	2.202781319959397	1.9440551626046756	0.3412761500996795	-1.550988498895316	0.0039408803816103856	0.017305605154028215	2.404406747168133	1.7618132094030834	upregulated set	0.46935057047416595	-1.0912621820564243	0.006269294626264216	0.011374827974599145	2.202781319959397	1.9440551626046756
PLK1	Other	51	890	30	612	602	10819	1.0298424726566873	0.04242367595456063	0.4402800497411207	0.45375801044748154	0.3562709931315299	0.3431756950413822	0.880968666536382	-0.18283738724730791	0.2772117553039146	0.37835658494182944	0.5571883571937949	0.4220987031421285	upregulated set	1.0298424726566873	0.04242367595456063	0.4402800497411207	0.45375801044748154	0.3562709931315299	0.3431756950413822
QSK	CAMK	44	890	65	612	527	10819	1.014937210839392	0.02139047774284996	0.4853939325755339	0.49024787190128927	0.31390565665145526	0.3095842828688127	2.18041138023837	1.1246003552951158	1.915630013715566e-8	3.828145075996047e-7	7.717688367135309	6.417011612036611	downregulated set	0.4586290500330615	-1.1246003552951158	1.915630013715566e-8	3.828145075996047e-7	7.717688367135309	6.417011612036611
BRAF	TKL	78	890	27	612	595	10819	1.5935832310452271	0.6722743714097099	0.00009831699710045977	0.00030090959718625566	4.007371394590846	3.521563960686091	0.8021997034107762	-0.3179666621279615	0.14299651036204092	0.2553413124165763	0.8446745607797044	0.5928789137384427	upregulated set	1.5935832310452271	0.6722743714097099	0.00009831699710045977	0.00030090959718625566	4.007371394590846	3.521563960686091
CDC7	Other	73	890	38	612	1198	10819	0.740735495488736	-0.432969623166001	0.0037840773724996013	0.007654911687829534	2.422039992221066	2.1160598152478305	0.5607412135694567	-0.8345929854413245	0.00003887409526903636	0.000406167271259242	4.410339705340987	3.391295074737638	upregulated set	0.740735495488736	-0.432969623166001	0.0037840773724996013	0.007654911687829534	2.422039992221066	2.1160598152478305
HPK1	STE	22	890	17	612	196	10819	1.3644691584498967	0.4483397852648563	0.10480335716731358	0.13687679836937938	0.9796248053686394	0.863670161757234	1.5333049886621313	0.6166446910390067	0.06481501609302293	0.1522399215208213	1.188324366801411	0.817471448598355	downregulated set	0.6521859691283853	-0.6166446910390067	0.06481501609302293	0.1522399215208213	1.188324366801411	0.817471448598355
SRPK1	CMGC	14	890	34	612	532	10819	0.31989946777055	-1.6443095027008179	2.1145319756376671e-7	0.000001016989188282878	6.674785743130939	5.992683664082216	1.1298036758563073	0.17607209965302525	0.26488078687929184	0.37329710895081597	0.5769495420988346	0.42794537351213496	downregulated set	0.8851095295313801	-0.17607209965302525	0.26488078687929184	0.37329710895081597	0.5769495420988346	0.42794537351213496
ICK	CMGC	23	890	36	612	392	10819	0.7132452419169915	-0.48752987731542813	0.05996789277884253	0.08334986932105178	1.2220812116357829	1.0790950767380827	1.6234993997599039	0.6991068512309797	0.004731586466290566	0.020481009989800594	2.3249932190855374	1.688648630597489	downregulated set	0.6159534152879195	-0.6991068512309797	0.004731586466290566	0.020481009989800594	2.3249932190855374	1.688648630597489
NDR1	AGC	16	890	2	612	79	10819	2.462011093727777	1.2998372625656645	0.0020120853517814176	0.004323842989998366	2.6963536006432083	2.3641300847962827	0.44754695126995947	-1.1598890542732272	0.18395610415375704	0.3029277149923282	0.7352857965454975	0.518660991052729	upregulated set	2.462011093727777	1.2998372625656645	0.0020120853517814176	0.004323842989998366	2.6963536006432083	2.3641300847962827
NDR2	AGC	53	890	22	612	419	10819	1.5376551983052211	0.6207320316066149	0.0025525927879786283	0.005297504210667975	2.5930184621402947	2.275928689422427	0.9282059681470042	-0.10748312115817876	0.4163492121137254	0.48708035239559383	0.38054225285024973	0.3123993884291965	upregulated set	1.5376551983052211	0.6207320316066149	0.0025525927879786283	0.005297504210667975	2.5930184621402947	2.275928689422427
CHK2	CAMK	14	890	4	612	85	10819	2.0021943159286186	1.0015819966626698	0.01725489671872176	0.02810878336436932	1.7630876358870387	1.5511579516026501	0.8319108035371011	-0.2654992422338261	0.47827753574355136	0.5166342509744003	0.32032001706182156	0.28681680506147933	upregulated set	2.0021943159286186	1.0015819966626698	0.01725489671872176	0.02810878336436932	1.7630876358870387	1.5511579516026501
CHK1	CAMK	60	890	27	612	488	10819	1.4946122674525695	0.5797712687883996	0.0024768363435419896	0.005175733876504985	2.6061026883857927	2.2860280621184623	0.9780918514946964	-0.0319581414955419	0.5050899414636113	0.5277319043568076	0.2966312800925721	0.27758664948922324	upregulated set	1.4946122674525695	0.5797712687883996	0.0024768363435419896	0.005175733876504985	2.6061026883857927	2.2860280621184623
WNK1	Other	22	890	11	612	137	10819	1.952087263183794	0.965017546419538	0.0044135762361498685	0.008358209997208814	2.35520936739923	2.07788672155285	1.4194098563999809	0.5052912295806461	0.1696219571682702	0.2902781056650367	0.7705179300286401	0.5371857197571823	upregulated set	1.952087263183794	0.965017546419538	0.0044135762361498685	0.008358209997208814	2.35520936739923	2.07788672155285
WNK3	Other	68	890	28	612	352	10819	2.34835291113381	1.2316492333558096	1.520196565832747e-9	1.279498776242562e-8	8.818100252886067	7.892960125151049	1.4062128639334521	0.4918149973241825	0.05354843329166889	0.13634601081828296	1.2712532311390639	0.8653575640292895	upregulated set	2.34835291113381	1.2316492333558096	1.520196565832747e-9	1.279498776242562e-8	8.818100252886067	7.892960125151049
KHS1	STE	20	890	24	612	303	10819	0.8023881039789372	-0.31762787784282126	0.19608194770722706	0.2285108852126531	0.7075623878315601	0.6410931073000731	1.4002459069436355	0.4856802111520809	0.072366775794853	0.16371651242691776	1.1404607763541406	0.7859075154919372	downregulated set	0.7141602735927535	-0.4856802111520809	0.072366775794853	0.16371651242691776	1.1404607763541406	0.7859075154919372
CDK10	CMGC	26	890	59	612	782	10819	0.40416966004770255	-1.3069670684234926	5.3201054163454415e-8	3.099984502216671e-7	7.274079762200525	6.508640477333019	1.3337700382795916	0.4155099459583649	0.018719302074893772	0.06044600642875294	1.7277103474073574	1.218632386999214	downregulated set	0.7497544338976784	-0.4155099459583649	0.018719302074893772	0.06044600642875294	1.7277103474073574	1.218632386999214
ATM	PIKK	69	890	20	612	775	10819	1.082292134831461	0.11408996735933681	0.27529684216965555	0.30113697897980374	0.5601987702127683	0.5212359107749118	0.45620915032679743	-1.1322327113703619	0.00004091501644982604	0.000413241666143243	4.38811726988035	3.383795896097708	upregulated set	1.082292134831461	0.11408996735933681	0.27529684216965555	0.30113697897980374	0.5601987702127683	0.5212359107749118
CDK12	CMGC	45	890	61	612	1059	10819	0.5165515485246841	-0.9530157669198943	4.0011980015009114e-7	0.0000018369136279617821	6.3978099567860705	5.735911263825634	1.0182855326581373	0.026142157474425526	0.4634877401496597	0.5125430119173244	0.3339617490184476	0.2902696833365305	downregulated set	0.9820428238723921	-0.026142157474425526	0.4634877401496597	0.5125430119173244	0.3339617490184476	0.2902696833365305
CDK13	CMGC	43	890	76	612	1130	10819	0.4625802923336979	-1.1122242918576848	3.805301095884301e-9	2.812210322080349e-8	8.41961097381915	7.550952202036581	1.1889698652322285	0.24971215004491099	0.07192156162639293	0.16371651242691776	1.1431408913754633	0.7859075154919372	downregulated set	0.8410642096506634	-0.24971215004491099	0.07192156162639293	0.16371651242691776	1.1431408913754633	0.7859075154919372
CDK14	CMGC	49	890	79	612	843	10819	0.7065869620270037	-0.5010609660841067	0.006341171408772526	0.011436755576536162	2.197830507201317	1.9416971604248747	1.6566669767946722	0.7282836211388966	0.000015917847682721367	0.00017863362399498422	4.798115655361512	3.7480367910181944	downregulated set	0.603621617384325	-0.7282836211388966	0.000015917847682721367	0.00017863362399498422	4.798115655361512	3.7480367910181944
